condition type,CP_len,timestamp,gas (wei),witness_time (s),setup_time (s),prove_time (s),compiled_size (MB),proving_key_size (kB),verification_key_size (kB)
membership,1,1735827154,550341,4.36,6.58,5.71,1105,181508,8
membership,2,1735827204,622361,7.39,11.20,9.66,1841,319608,12
membership,4,1735827297,766620,13.30,21.00,19.13,3281,595812,12
membership,8,1735827512,1056169,25.26,42.77,38.82,6193,1148220,16
membership,16,1735828154,1639119,49.65,109.00,103.63,11985,2253032,28
equality,1,1735828176,496296,2.96,4.47,4.05,753,128860,8
equality,2,1735828206,514266,4.38,6.64,6.00,1105,181548,8
equality,4,1735828255,550149,7.43,11.19,9.87,1841,319692,8
equality,8,1735828348,621941,13.34,21.01,19.37,3281,595976,12
equality,16,1735828559,765864,25.41,42.81,39.18,6193,1148548,12
range,1,1735828580,496320,2.98,4.43,4.06,753,128884,8
range,2,1735828610,514266,4.48,6.59,5.87,1105,181592,8
range,4,1735828659,550125,7.35,11.39,9.81,1841,319780,8
range,8,1735828751,621917,13.32,20.90,18.79,3281,596152,12
range,16,1735828966,765840,25.68,43.18,39.44,6193,1148900,12
treecred_membership,1,1739199742,550329,4.32,6.58,5.89,1105,181508,8
treecred_equality,1,1739199901,496332,1.07,1.48,1.38,273,37900,8
treecred_equality,2,1739199931,514242,4.30,6.43,5.78,1105,181548,8
treecred_equality,4,1739199984,550149,7.37,12.13,10.50,1841,319692,8
